NCT ID;Title;Status;Phase;Study Type;Enrollment;Conditions
NCT01746238;Bevacizumab/Doxorubicin/Radiation for Sarcoma;ACTIVE_NOT_RECRUITING;['PHASE1'];INTERVENTIONAL;14.0;['Sarcoma']
NCT02354131;Niraparib Versus Niraparib-bevacizumab Combination in Women With Platinum-sensitive Epithelial Ovarian Cancer;COMPLETED;['PHASE1', 'PHASE2'];INTERVENTIONAL;108.0;['Ovarian Cancer']
NCT00932438;Drug-Eluting Bead, Irinotecan (DEBIRI) Therapy of Liver Metastasis From Colon Cancer With Systemic Fluorouracil, Oxaliplatin, Leucovorin and Bevacizumab;COMPLETED;['PHASE1', 'PHASE2'];INTERVENTIONAL;70.0;['Colon Cancer With Metastases to the Liver']
NCT00608972;Phase II Trial of Doxil, Carboplatin, Bevacizumab in Triple Negative Untreated Metastatic Breast Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;31.0;['Metastatic Breast Cancer']
NCT00217672;Docetaxel With Bevacizumab as First-Line Therapy in Treating Women With Stage IV Breast Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;76.0;['Breast Cancer']
NCT00702572;Carboplatin, Paclitaxel, Bevacizumab and Vorinostat for Patients With Advanced Non-Small Cell Lung Cancer;TERMINATED;['PHASE1'];INTERVENTIONAL;25.0;['Non-small Cell Lung Cancer']
NCT00120172;Study of Oxaliplatin, Capecitabine, and Bevacizumab to Treat Older Patients With Colorectal Cancer;TERMINATED;['PHASE2'];INTERVENTIONAL;40.0;['Colorectal Cancer', 'Neoplasm Metastasis']
NCT04356729;A Phase II Trial of PD-L1 Therapy Combined With Anti-VEGF Therapy in Unresectable or Metastatic Melanoma;RECRUITING;['PHASE2'];INTERVENTIONAL;30.0;['Clinical Stage III Cutaneous Melanoma AJCC v8', 'Stage IV Melanoma', 'Unresectable Stage III Cutaneous Melanoma', 'Unresectable Stage IV Cutaneous Melanoma']
NCT00662129;Paclitaxel Albumin-Stabilized Nanoparticle Formulation, Gemcitabine, and Bevacizumab in Treating Patients With Metastatic Breast Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;50.0;['Breast Cancer']
NCT02664961;Study of TRC105 and Bevacizumab in Patients With Refractory Gestational Trophoblastic Neoplasia (GTN);TERMINATED;['PHASE2'];INTERVENTIONAL;3.0;['Gestational Trophoblastic Neoplasia', 'Choriocarcinoma', 'Placental Site Trophoblastic Tumor', 'Epithelioid Trophoblastic Tumor']
NCT00604461;Carboplatin, Bevacizumab and Pemetrexed in the First-Line Treatment of Patients With Malignant Pleural Mesothelioma (MPM);TERMINATED;['PHASE1', 'PHASE2'];INTERVENTIONAL;13.0;['Mesothelioma']
NCT00360360;Paclitaxel/Carboplatin Plus Bevacizumab/Erlotinib in the First Line Treatment of Carcinoma of Unknown Primary Site;COMPLETED;['PHASE2'];INTERVENTIONAL;60.0;['Neoplasm, Unknown Primary']
NCT00602329;MRI in Predicting Response in Patients Receiving Combination Chemotherapy and Bevacizumab For Advanced or Metastatic Colorectal Cancer;TERMINATED;['PHASE2'];INTERVENTIONAL;5.0;['Colorectal Cancer']
NCT00533429;Study of Pemetrexed + Carboplatin + Bevacizumab + Enzastaurin Versus Pemetrexed + Carboplatin + Bevacizumab + Placebo in Participants With Non-Small Cell Lung Cancer Who Have Not Been Previously Treated With Chemotherapy;COMPLETED;['PHASE2'];INTERVENTIONAL;40.0;['Non-small Cell Lung Cancer']
NCT00960960;A Study of PI3-Kinase Inhibitor GDC-0941 in Combination With Paclitaxel, With and Without Bevacizumab or Trastuzumab, and With Letrozole, in Participants With Locally Recurrent or Metastatic Breast Cancer;COMPLETED;['PHASE1'];INTERVENTIONAL;71.0;['Breast Cancer']
NCT02313272;Hypofractionated Stereotactic Irradiation (HFSRT) With Pembrolizumab and Bevacizumab for Recurrent High Grade Gliomas;COMPLETED;['PHASE1'];INTERVENTIONAL;32.0;['Malignant Glioma']
NCT00600210;Neoadjuvant Bevacizumab and Carboplatin Followed by Concurrent Bevacizumab, Carboplatin and Radiotherapy in the Primary Treatment of Cervix Cancer;WITHDRAWN;['PHASE2'];INTERVENTIONAL;0.0;['Cervical Cancer']
NCT00203372;Neoadjuvant TAC Plus or Minus Bevacizumab(AVF3299);COMPLETED;['PHASE2'];INTERVENTIONAL;6.0;['Breast Cancer']
NCT01386710;Repeated Super-selective Intraarterial Cerebral Infusion Of Bevacizumab Plus Carboplatin For Treatment Of Relapsed/Refractory GBM And Anaplastic Astrocytoma;SUSPENDED;['PHASE1', 'PHASE2'];INTERVENTIONAL;54.0;['Glioblastoma Multiforme', 'Anaplastic Astrocytoma']
NCT05200364;A Study of STRO-002, an Anti-Folate Receptor Alpha Antibody Drug Conjugate, in Combination With Bevacizumab in Epithelial Ovarian Cancer;RECRUITING;['PHASE1'];INTERVENTIONAL;58.0;['Ovarian Cancer', 'Ovarian Carcinoma', 'Ovary Cancer', 'Fallopian Tube Cancer', 'Primary Peritoneal Carcinoma']
NCT02478164;Trial of Ponatinib in Patients With Bevacizumab-Refractory Glioblastoma;COMPLETED;['PHASE2'];INTERVENTIONAL;17.0;['Glioblastoma']
NCT00805961;RT, Temozolomide, and Bevacizumab Followed by Bevacizumab/Everolimus in First-line Treatment of GBM;COMPLETED;['PHASE2'];INTERVENTIONAL;68.0;['Glioblastoma Multiforme']
NCT00047710;Study of Combined RHUMAB VEGF and Capecitabine-based Chemoradiation for Patients With Locally Advanced Pancreatic Cancer;COMPLETED;['PHASE1'];INTERVENTIONAL;48.0;['Pancreatic Cancer']
NCT00464646;Therapy With Bevacizumab (BEV), Epirubicin, and Cyclophosphamide Followed by Docetaxel Plus Trastuzumab and BEV Given as Neoadjuvant or Adjuvant Therapy for Women With Locally Advanced HER2 Positive Invasive Breast Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;105.0;['Breast Cancer']
NCT00222729;Study of Pemetrexed and Bevacizumab in Patients With Head and Neck Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;42.0;['Cancer']
NCT01946529;Therapeutic Trial for Patients With Ewing Sarcoma Family of Tumor and Desmoplastic Small Round Cell Tumors;ACTIVE_NOT_RECRUITING;['PHASE2'];INTERVENTIONAL;24.0;['Desmoplastic Small Round Cell Tumor', 'Ewing Sarcoma of Bone or Soft Tissue', 'Localized Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor', 'Metastatic Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor']
NCT00308529;Irinotecan, Carboplatin, Bevacizumab, and Radiation Therapy in the Treatment of Limited Stage Small Cell Lung Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;55.0;['Carcinoma, Small Cell Lung', 'Lung Cancer']
NCT05751629;Study to Evaluate the Safety and Efficacy of TSR-042, Bevacizumab, and Niraparib in Participants With Recurrent Ovarian Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;41.0;['Ovarian Neoplasm']
